id,fullname,job,gender,city,salary,birthday
1,Gordon Rubinovitch,artist,Male,San Jose,2522,1977-06-14
2,Giffer Fihelly,scientist,Male,New York,2059,1977-11-25
3,Clim Floch,architect,Male,Phoenix,6675,1973-05-31
4,Latashia Dochon,scientist,Female,Philadelphia,6276,1965-05-27
5,Judas Tiebe,artist,Male,San Jose,2455,1971-07-17
6,Padraig Stockings,teacher,Male,San Diego,3945,1971-04-02
7,Ross Matschuk,writer,Male,San Diego,9767,1973-02-04
8,Nance Physic,teacher,Female,Phoenix,5212,1974-09-19
9,Nichols Molloy,architect,Male,Chicago,7026,1991-07-13
10,Hilary Gorman,doctor,Male,Los Angeles,6292,1970-04-01
11,Ruddy Tejada,teacher,Male,Phoenix,9806,1984-03-27
12,Karine Sidebotham,scientist,Female,Phoenix,8052,1976-01-03
13,Rollins Cudbird,athlete,Male,New York,8418,1961-07-10
14,Adelbert Doak,doctor,Male,Philadelphia,9055,1979-09-18
15,Norma Buie,teacher,Female,San Jose,9950,1964-05-21
16,Agathe Isakov,engineer,Female,Philadelphia,5678,1962-04-14
17,Rozella Plevin,athlete,Female,Philadelphia,4804,1979-07-18
18,Emlyn Haensel,architect,Female,Dallas,3874,1992-07-04
19,Erin Pagden,musician,Female,Los Angeles,6551,1995-05-04
20,Brand Willmett,athlete,Male,Dallas,2949,1992-11-11
21,Gordie Tassell,doctor,Male,Houston,4084,2000-03-17
22,Riley Luety,architect,Male,Philadelphia,5407,1997-03-21
23,Cathe Hedges,teacher,Female,Philadelphia,1309,1979-03-13
24,Milton McManamen,athlete,Male,Los Angeles,9253,1988-04-05
25,Morena Fuller,writer,Female,Dallas,6970,1998-09-06
26,Nevin Flecknell,musician,Male,Chicago,8212,1972-10-24
27,Gaston Wyeth,writer,Male,Los Angeles,5508,1963-05-08
28,Pansie Petrulis,architect,Female,Chicago,7952,1999-03-10
29,Walton Le Page,artist,Male,New York,5949,1982-01-13
30,Maybelle Annand,teacher,Female,Philadelphia,8153,1986-08-18
31,Sheilakathryn Wynn,chef,Female,Philadelphia,2739,1993-02-09
32,Sherlock Goodbanne,engineer,Male,Chicago,8314,1990-07-12
33,Harlan Millea,writer,Male,Phoenix,9710,1985-06-25
34,Warner Hellings,athlete,Male,Los Angeles,7635,1966-01-19
35,Karee Welman,writer,Female,Phoenix,4654,1989-11-16
36,Maurice Whitton,teacher,Male,San Antonio,9247,1991-06-13
